AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
JACK,M,1/1/2008 0:00,Unknown,Queens,11414,410,884,QN57,32,8,15,9/11/2016,11/3/2017
TEDDY,M,8/1/2006 0:00,"Welsh Corgi, Pembroke",Queens,11364,411,1367,QN42,23,6,11,10/1/2016,10/29/2017
FLOYD ,M,10/1/2015 0:00,"Poodle, Standard",Queens,11379,405,669,QN21,30,6,15,1/20/2016,1/20/2017
ODYSSEUS,M,12/1/2014 0:00,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11210,314,754,BK43,45,9,17,3/11/2016,3/11/2017
HIRO,M,9/1/2014 0:00,Toy Fox Terrier,Queens,11101,NA,NULL,NULL,NA,NA,NA,5/15/2016,6/20/2017
KOKO,F,9/1/2016 0:00,Pomeranian,Queens,11691,414,103202,QN15,31,5,10,11/21/2016,11/21/2017
OLIVE ,F,3/1/2013 0:00,Boxer,Staten Island,10308,503,14606,SI54,51,11,24,6/22/2015,7/31/2016
SAMMY,M,9/1/2008 0:00,Shih Tzu,Staten Island,10301,501,47,SI08,49,11,24,7/21/2016,8/27/2017
REX,M,4/1/2013 0:00,Pug,Brooklyn,11218,NA,NULL,NULL,NA,NA,NA,8/5/2016,8/5/2017
ETHEL,F,1/1/2012 0:00,Labrador Retriever,Manhattan,10025,107,193,MN09,7,13,30,2/21/2016,2/1/2017
HAMPTON,F,10/1/2010 0:00,Unknown,Manhattan,10002,103,202,MN28,2,7,26,10/4/2015,11/7/2016
KING,M,8/1/2008 0:00,American Pit Bull Terrier/Pit Bull,Brooklyn,11209,310,34,BK31,43,11,22,7/13/2016,8/11/2017
NAME NOT PROVIDED,M,8/1/2015 0:00,Puggle,Brooklyn,11215,307,143,BK37,38,7,20,1/14/2016,1/14/2017
ASPEN,M,10/1/2011 0:00,Maltipoo,Manhattan,10019,104,135,MN15,6,10,27,9/14/2016,8/20/2017
SAMMY,F,1/1/2016 0:00,Redbone Coonhound,Brooklyn,11211,301,519,BK73,33,12,26,6/12/2016,6/12/2017
COOKIEMOUS,F,1/1/2003 0:00,Yorkshire Terrier,Staten Island,10312,503,17008,SI48,51,11,24,2/4/2016,12/30/2016
SPIKE,M,8/1/2006 0:00,Miniature Pinscher,Queens,11414,410,884,QN57,32,8,15,3/5/2015,4/11/2016
BELL,F,2/1/2016 0:00,Terrier Crossbreed,Queens,11413,413,630,QN66,31,5,14,7/2/2016,7/2/2017
CHEWBACCA,F,3/1/2006 0:00,Australian Cattledog,Manhattan,10036,104,115,MN15,3,10,27,3/12/2016,3/14/2017
CINDY,F,7/1/2008 0:00,Cocker Spaniel,Brooklyn,11229,315,580,BK44,48,9,17,7/27/2015,7/27/2016
COOPER,M,10/1/2015 0:00,Shetland Sheepdog,Queens,11418,409,128,QN54,32,5,15,3/4/2016,3/4/2017
OLIVE,F,9/1/2015 0:00,Collie,Manhattan,10016,106,80,MN20,4,12,28,11/4/2016,11/28/2017
REGGIE,M,9/1/2012 0:00,Unknown,Brooklyn,11201,302,1,BK09,33,7,26,9/22/2015,8/5/2016
POTATO ,M,9/1/2013 0:00,French Bulldog,Manhattan,10011,102,63,MN23,3,10,27,1/12/2015,1/12/2016
DAPHNE,F,12/1/2008 0:00,Unknown,Manhattan,10025,107,177,MN12,6,10,30,8/5/2015,6/24/2017
BENJI,M,10/1/2007 0:00,Unknown,Bronx,10457,206,395,BX01,15,15,33,5/20/2016,4/16/2017
DELILAH ,F,1/1/2004 0:00,German Shepherd Crossbreed,Brooklyn,11231,306,59,BK33,38,7,25,1/6/2016,8/30/2016
ITCHY ,M,12/1/2010 0:00,Unknown,Bronx,10462,211,22404,BX49,13,14,34,8/25/2016,10/24/2017
LAMAR,M,1/1/2010 0:00,Unknown,Brooklyn,11217,306,161,BK64,39,9,20,7/14/2016,8/27/2017
UNKNOWN,F,5/1/2015 0:00,Brussels Griffon,Manhattan,10001,105,95,MN17,3,12,27,8/8/2015,8/8/2016
LADY ,F,1/1/2003 0:00,Unknown,Queens,11354,407,1047,QN51,20,6,16,5/8/2015,5/30/2016
BARDOT,F,5/1/2012 0:00,Labrador Retriever,Manhattan,10075,108,142,MN40,4,12,28,5/30/2015,5/30/2020
BROWNIE,M,9/1/2016 0:00,Yorkshire Terrier,Bronx,10467,207,423,BX43,11,13,36,11/28/2016,11/28/2017
