"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate"
13672,"MAX","M","3/1/2006 0:00","Chow Chow","Queens",11428,413,"560","QN34",23,5,11,"4/20/2015","6/9/2016"
69324,"ROOBY","F","1/1/2004 0:00","Australian Cattledog","Manhattan",10005,101,"7","MN25",1,10,26,"4/29/2016","3/3/2019"
62177,"HERCULES ","M","5/1/2011 0:00","Pekingese","Brooklyn",11239,305,"105801","BK93",42,8,19,"3/30/2016","5/15/2017"
99424,"ARCHER","M","3/1/2012 0:00","Labrador Retriever","Brooklyn",11231,306,"77","BK33",39,7,25,"9/2/2016","6/29/2017"
24955,"COCO","M","9/1/2013 0:00","Treeing Tennessee Brindle","Staten Island",10304,502,"9602","SI36",50,11,24,"7/13/2015","7/13/2016"
104618,"CHARLIE","M","5/1/2010 0:00","Belgian Malinois","Brooklyn",11238,308,"305","BK61",35,9,20,"9/23/2016","9/2/2017"
28755,"LUCKY ","F","8/1/2014 0:00","Golden Retriever","MANHATTAN",10024,107,"171","MN12",6,10,31,"8/11/2015","8/11/2016"
109839,"ISADORA","F","1/1/2010 0:00","Unknown","Manhattan",10003,105,"52","MN13",2,12,28,"10/19/2016","12/1/2017"
4077,"KIKI","F","1/1/2001 0:00","Rat Terrier","Queens",11101,401,"33","QN68",26,12,12,"1/26/2015","1/26/2016"
106808,"GRACE","F","7/1/2013 0:00","Labrador Retriever Crossbreed","Staten Island",10303,501,"31902","SI12",49,11,23,"10/4/2016","12/3/2020"
35945,"JAVI","M","6/1/2015 0:00","Havanese","Brooklyn",11225,309,"79801","BK60",40,9,20,"10/14/2015","10/14/2016"
54738,"BOBBIE ","M","2/1/2002 0:00","Lhasa Apso","Manhattan",10003,103,"38","MN22",2,12,27,"2/23/2016","3/30/2017"
82994,"NAME NOT PROVIDED","M","3/1/2016 0:00","Poodle Crossbreed","Queens",11377,402,"18502","QN31",26,14,12,"6/26/2016","6/26/2017"
59437,"GEORGE","F","1/1/2006 0:00","American Pit Bull Mix / Pit Bull Mix","Manhattan",10012,102,"49","MN24",1,10,26,"3/17/2016","3/3/2017"
113468,"DIAMOND","F","4/1/2009 0:00","Unknown","Bronx",10455,201,"75","BX34",17,15,32,"11/8/2016","11/23/2017"
50418,"DANTE","M","7/1/2009 0:00","German Shepherd Dog","Staten Island",10305,502,"11401","SI36",50,11,24,"2/1/2016","2/26/2017"
